Question,Prediction,Ground Truth
Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?,1997 to 1999,International Boxing Hall of Fame
who is the younger brother of The episode guest stars of The Hard Easy ,Cecil,Bill Murray
The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,FA Cup,Carabao Cup
"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Raven,Teen Titans Go!
What is the inhabitant of the city where  122nd SS-Standarte was formed in2014,I don't know.,"276,170 inhabitants"
Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?,Bill Clinton,William Jefferson Clinton
What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?,"John ""John"" Alexander Florence",John John Florence
What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,Sela Ward,Ann
Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Ais native population,Apalachees
In which year was the King who made the 1925 Birthday Honours born?,1951,1865
Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?,requiring only men to register for the draft,Conscription
"Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?",Mondelez International,"Mondelez International, Inc."
"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?",Monica Samille Lewinsky,Monica Lewinsky
"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?",1970,1866
Where are Teide National Park and Garajonay National Park located?,"Tenerife (Canary Islands, Spain).","Canary Islands, Spain"
How many copies of Roald Dahl's variation on a popular anecdote sold?,250 million copies worldwide,250 million
What occupation do Chris Menges and Aram Avakian share?,film director,director
Where does the hotel and casino located in which Bill Cosby's third album was recorded?,"Las Vegas, Nevada.",Las Vegas Strip in Paradise
Do the drinks Gibson and Zurracapote both contain gin?,yes,no
"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",June,March and April
Bordan Tkachuk was the CEO of a company that provides what sort of products?,apparel and home goods,IT products and services
Are Yingkou and Fuding the same level of city?,yes,no
